Date,Open,High,Low,Last,Close,Quantity,Turnover
3/3/2017,2492,2499.7,2475.4,2490,2494.05,506985,12616.17
3/2/2017,2486.7,2510,2470.05,2503.2,2501.45,772471,19294.38
3/1/2017,2479.9,2501.9,2470,2475.3,2479.55,565187,14051.36
2/28/2017,2489.5,2490,2450,2460,2466.25,1177414,29031.54
2/27/2017,2479.1,2502,2470.05,2492,2489.85,1069946,26633.32
2/23/2017,2415,2493.25,2415,2479,2481.8,2426676,59881.4
2/22/2017,2465.9,2470,2400.15,2409.95,2411.5,2252748,54617.97
2/21/2017,2514,2525.9,2455.15,2461.5,2465.35,2750556,68498.04
2/20/2017,2425,2555,2408.1,2505,2502.2,1986974,49255.32
2/17/2017,2472,2475.6,2402,2415,2407.9,1361662,32969.54
2/16/2017,2460,2478,2435.6,2450,2447.75,2087840,51209.37
2/15/2017,2397,2428,2375.1,2423.45,2413.7,962486,23153.28
2/14/2017,2419.65,2419.65,2398,2398.15,2406.25,1016664,24500.97
2/13/2017,2396,2429,2382.35,2409.1,2414.25,1909906,46036.67
2/10/2017,2311,2424.45,2311,2382.9,2397.95,2891080,68330.47
2/9/2017,2275,2328,2270.2,2317,2317.3,2016601,46539.44
2/8/2017,2244.9,2282.6,2244.05,2281,2270.95,1106292,25119.77
2/7/2017,2244,2252.6,2226,2245.9,2244.6,907319,20352.76
2/6/2017,2258,2258.5,2214.95,2242,2240.75,1204455,26908.66
2/3/2017,2209.7,2243,2191,2238.8,2232.55,1076686,23919.54
2/2/2017,2170.05,2219,2153,2204.45,2207.65,3004741,65535.91
2/1/2017,2220,2239.95,2155.55,2164.9,2167.9,2432076,52917.12
1/31/2017,2320,2332.05,2200.05,2232,2229.8,2333402,52303.22
1/30/2017,2341,2351.95,2318.15,2338.85,2332.9,1288978,30065.38
1/27/2017,2345.05,2378.75,2345.05,2359,2357.8,1435829,33950.68
1/25/2017,2322.6,2360,2318.05,2357,2353,2055824,48151
1/24/2017,2304,2323,2290,2320,2318.35,1141319,26366.71
1/23/2017,2265,2313.5,2259.8,2307.1,2306.7,1159273,26640.66
1/20/2017,2287,2300,2265,2288,2285.35,1018623,23255.92
